what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838548971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838550790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838553836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838555894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838584452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838586119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838587554
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1785838590460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838592047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838597411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838599382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838601435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838602096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838606328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838608634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785838639433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838640097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839013375
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839016943
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785839020280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839021993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839028261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839029621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839032051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839034071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839040141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839042012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839042651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839046001
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1785839047835
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1785839047844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839052737
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1785839052737
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785839053304
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839054892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839057675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839058861
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785839059117
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785839060924
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785839061342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839064899
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785839066704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839152951
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839152957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839167440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839310964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839311708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839315670
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785839318437
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839325753
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839326140
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1785839326148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839326169
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1785839326648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1785839328321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785839328863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839329671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839331575
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839331591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839336928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839341221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839346156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839348358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839348696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839352127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839384407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839441185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839451361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839452189
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839455341
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839455382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839460681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1785839460707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1785839471219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839483628
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839486221
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1785839486238
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839486993
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839486993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839498123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839503775
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785839509075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839510747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839526419
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839528488
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839528659
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839528673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839538734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839542902
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839542917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839545646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839545726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839557035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839566696
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839569277
